house_number,street_name,intersecting_street,latitude,longitude
1440,York Ave,,40.7696022,-73.95134089999999
512,E 74th St,,40.76758,-73.95187829999999
N,E 72nd St,10ft E/of 1st Ave,40.7692518,-73.9594312
W,Park Ave,35ft N/of E 57th St,40.7468639,-73.9822994
208,E 50th St,,40.7554154,-73.9705757
340,E 55th St,,40.7571361,-73.96484989999999
405,E 56th St,,40.7574078,-73.96245569999999
400,E 56th St,,40.75725569999999,-73.9629056
252,E 50th St,,40.7548804,-73.9688009
S,E 54th St,80ft E/of Lexington,40.76,-73.97350899999999
W,Park Ave,35ft N/of E 57th St,40.7468639,-73.9822994
315,W 39th St,,40.7559406,-73.99207059999999
488,9th Ave,,40.75541219999999,-73.9945527
301,W 37th St,,40.7543748,-73.992499
772,West End Ave,,40.7962633,-73.9722328
153,Manhattan Ave,,40.7995421,-73.96117
993,Columbus Ave,,40.80091669999999,-73.9613138
424,W 119th St,,40.8083676,-73.9592414
W,Riverside Dr,15ft N/of W 99th St,40.815718,-73.9624664
110,W 97th St,,40.79358240000001,-73.9675886
128,W 112th St,,40.8000193,-73.9534096
1,W 118th St,,40.8022154,-73.9457022
1512,Avenue S,,40.60326000000001,-73.956921
1809,E 7th St,,40.6064583,-73.96559010000001
E,Coney Island Ave,20ft S/of Quentin Rd,40.6136033,-73.9631313
1800,E 12th St,,40.6057932,-73.9610093
1755,E 13th St,,40.6067451,-73.9595399
E,E 13th St,20ft S/of Kings Hwy,40.7127753,-74.0059728
1416,Kings Hwy,,40.6083669,-73.95856789999999
1770,E 14th St,,40.6063251,-73.9590348
1645,E 15th St,,40.6092914,-73.9581967
1629,E 15th St,,40.6096414,-73.9582771
1618,Kings Hwy,,40.6091939,-73.9567618
1530,E 19th St,,40.612761,-73.955462
8876,26th Ave,,40.5912189,-73.9909687
8863,24th Ave,,40.5941738,-73.9953647
1739,Shore Pky,,40.593813,-73.99568599999999
W,25th Ave,55ft S/of Cropsey Av,40.744147,-73.991497
2207,Bath Ave,,40.5985053,-73.9969141
N,Cropsey Ave,10ft E/of Bay 25th S,40.595627,-73.9968531
7910,19th Ave,,40.6098025,-73.9968337
W,19th Ave,25ft S/of 65th St,40.7425781,-73.99965159999999
W,19th Ave,15ft S/of 63rd St,40.7425781,-73.99965159999999
6019,19th Ave,,40.6201424,-73.98531009999999
2102,66th St,,40.6143318,-73.98429999999999
8317,21st Ave,,40.6044387,-73.9944123
8411,21st Ave,,40.6040718,-73.9948252
8738,Bay 16th St,,40.6055054,-74.00712879999999
1801,18th Ave,,40.619131,-73.990182
8644,18th Ave,,40.60650800000001,-74.00382309999999
8717,18th Ave,,40.6048338,-74.004914
192,Bay 19th St,,40.6031133,-74.0062913
W,Bay 19th St,25ft N/of Cropsey Av,40.603571,-74.00558699999999
1917,Cropsey Ave,,40.6013812,-74.00451199999999
S,21st Dr,10ft W/of 21st Ave,40.7821937,-73.9178668
E,21st Ave,65ft S/of 21st Dr,40.7379132,-73.9849673
8743,20th Ave,,40.6016609,-74.001023
8648,20th Ave,,40.6037249,-73.9994541
8670,20th Ave,,40.603407,-73.999878
N,Benson Ave,95ft W/of Stillwell,40.602458,-73.999279
275,Avenue X,,40.5904585,-73.9725115
2310,Ocean Pky,,40.592987,-73.965458
1650,Ocean Pky,,40.6082464,-73.9679586
1622,Ocean Pky,,40.608883,-73.968397
818,Avenue P,,40.609494,-73.964535
246,N 5th St,,40.7143386,-73.9554314
E,Olmstead Ave,50ft N/of Starling A,40.82577020000001,-73.8527574
E,Olmstead Ave,50ft N/of Starling A,40.82577020000001,-73.8527574
99,Unionport Rd,,40.8412711,-73.8633492
140,W 55th St,,40.7635579,-73.97990779999999
77,W 55th St,,40.7630957,-73.97772859999999
77,W 55th St,,40.7630957,-73.97772859999999
77,W 55th St,,40.7630957,-73.97772859999999
140,W 55th St,,40.7635579,-73.97990779999999
N,W 55th St,20ft W/of 6th Ave,40.7660013,-73.9852045
1365,6th Ave,,40.7632965,-73.978179
100,W 92nd St,,40.7904256,-73.9704223
15,W 103rd St,,40.796691,-73.962272
123,W 104th St,,40.798718,-73.964889
333,Central Park West,,40.7900987,-73.9663587
250,W 93rd St,,40.7927445,-73.97380249999999
149,W 93rd St,,40.7917529,-73.97039939999999
5,W 93rd St,,40.79018,-73.9667949
10,Fort Greene Pl,,40.6894598,-73.9772294
256,Clinton St,,40.7108176,-73.9864642
195,Washington Park,,40.6906433,-73.9730744
4,S Oxford St,,40.689453,-73.97429699999999
34,S Oxford St,,40.6886348,-73.9741185
154,Dekalb Ave,,40.6895131,-73.9744029
8,S Portland Ave,,40.6893068,-73.9752685
29,St Felix St,,40.6887928,-73.97750719999999
191,Willoughby St,,40.6925254,-73.9803939
S,Willoughby St,15ft E/of Flatbush A,40.69207180000001,-73.9826168
715,Amsterdam Ave,,40.7930797,-73.9706819
S,W 104th St,30ft E/of Riverside,40.7987854,-73.96584930000002
35,W 92nd St,,40.7897706,-73.96771319999999
,WILLIAMSBURG ST (S/B,) @ FLUSHING AVE,40.7112947,-73.9350365
,ROCKAWAY BLVD (S/B),@ BROOKVILLE BLVD,40.6728572,-73.832624
,WEST ST (S/B) @ 14TH,STREET,40.7364322,-73.9910462
,WEST ST (S/B) @ W HO,USTON ST,40.740065,-73.99316499999999
,KISSENA BLVD (S/B) @,BOOTH MEMORIAL AVE,40.74611910000001,-73.8076036
,HOWARD AVE (N/B) @ E,NEW YORK AVE,40.6728949,-73.9089333
,W FORDHAM RD (W/B) @,CEDAR AVE,40.862243,-73.911316
,CROSS BRONX EXPWY (W,/B) @ ROSEDALE AVE,40.8331301,-73.8603449
,12TH AVE (N/B) @ W 5,7TH ST,40.771549,-73.9938433
,EB 65TH ST @ 16TH AV,E,40.621994,-73.99492
,FLATBUSH AVE (S/B) @,DEAN ST,40.6608788,-73.9621109
,BORDEN AVE (E/B) @ G,REENPOINT AVE,40.7332629,-73.9404143
,5TH AVE (S/B) @ 40TH,ST,40.752124,-73.981083
,CROSS BRONX EXPWY (W,/B) @ ROSEDALE AVE,40.8331301,-73.8603449
,CADMAN PLAZA (E/B) @,PROSPECT ST,40.6970564,-73.98949089999999
,REMSEN AVE (N/B) @ W,INTHROP ST,40.6467466,-73.91323109999999
,WILLIAMSBURG ST (S/B,) @ FLUSHING AVE,40.7112947,-73.9350365
,QUEENS BLVD (E/B) @,70TH ST,40.7656944,-73.95410910000001
,RICHMOND RD (E/B) @,NEW DORP LANE,40.58506819999999,-74.10630069999999
,5TH AVE (S/B) @ 40TH,ST,40.752124,-73.981083
,FLATBUSH AVE EXTENSI,ON (S/B) @ TILLARY S,40.6966033,-73.98454389999999
,HOYT AVE (S/B) @ 31S,T ST,40.771069,-73.91756099999999
